,State,Action,Reward,Error,Time,Value,Alpha,Episilon,Max V,Value,Policy
73,1,1,1.0,0.0466809111705252,4.72304892539978,[0.69479631 1.20518848 0.42962287 0.036      1.18804   ],0.1,,1.2051884775456423,[0.69479631 1.20518848 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
74,0,0,0.0,0.03898733208128902,4.723141193389893,[0.73378364 1.20518848 0.42962287 0.036      1.18804   ],0.1,,1.2051884775456423,[0.73378364 1.20518848 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
75,1,1,1.0,0.045521679940788706,4.723238229751587,[0.73378364 1.25071016 0.42962287 0.036      1.18804   ],0.1,,1.250710157486431,[0.73378364 1.25071016 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
76,0,0,0.0,0.039185550067831115,4.72330904006958,[0.77296919 1.25071016 0.42962287 0.036      1.18804   ],0.1,,1.250710157486431,[0.77296919 1.25071016 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
77,1,1,1.0,0.04449621145281462,4.7233850955963135,[0.77296919 1.29520637 0.42962287 0.036      1.18804   ],0.1,,1.2952063689392457,[0.77296919 1.29520637 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
78,0,0,0.0,0.03927165409180131,4.723468065261841,[0.81224085 1.29520637 0.42962287 0.036      1.18804   ],0.1,,1.2952063689392457,[0.81224085 1.29520637 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
79,1,1,1.0,0.04358103917579528,4.723538160324097,[0.81224085 1.33878741 0.42962287 0.036      1.18804   ],0.1,,1.338787408115041,[0.81224085 1.33878741 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
80,0,0,0.0,0.03926678220844276,4.723603010177612,[0.85150763 1.33878741 0.42962287 0.036      1.18804   ],0.1,,1.338787408115041,[0.85150763 1.33878741 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
81,1,1,1.0,0.04275694565697559,4.723666191101074,[0.85150763 1.38154435 0.42962287 0.036      1.18804   ],0.1,,1.3815443537720167,[0.85150763 1.38154435 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
82,0,1,0.0,0.05319908596348201,4.723747968673706,[0.85150763 1.38154435 0.42962287 0.036      1.18804   ],0.1,,1.3815443537720167,[0.85150763 1.38154435 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
83,0,0,0.0,0.039188229096726285,4.723829984664917,[0.89069586 1.38154435 0.42962287 0.036      1.18804   ],0.1,,1.3815443537720167,[0.89069586 1.38154435 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
84,1,1,1.0,0.04200819170998338,4.723893880844116,[0.89069586 1.42355255 0.42962287 0.036      1.18804   ],0.1,,1.423552545482,[0.89069586 1.42355255 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
85,0,1,0.0,0.051406117985839175,4.723974227905273,[0.89069586 1.42355255 0.42962287 0.036      1.18804   ],0.1,,1.423552545482,[0.89069586 1.42355255 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
86,0,0,0.0,0.03905014344095217,4.724039077758789,[0.929746   1.42355255 0.42962287 0.036      1.18804   ],0.1,,1.423552545482,[0.929746   1.42355255 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
87,1,1,1.0,0.04132188544867077,4.724107980728149,[0.929746   1.46487443 0.42962287 0.036      1.18804   ],0.1,,1.4648744309306707,[0.929746   1.46487443 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
88,0,0,0.0,0.038864098787237324,4.7241740226745605,[0.9686101  1.46487443 0.42962287 0.036      1.18804   ],0.1,,1.4648744309306707,[0.9686101  1.46487443 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
